step,loss,util,prob
0,0.9322147,0.45853764,0.8521706
1,0.9503361,0.51851046,0.90421814
2,0.9679734,0.5722179,0.94403076
3,0.99281466,0.61864233,0.9883853
4,0.9951046,0.65628594,0.9925408
5,0.99808526,0.6872059,0.9972137
6,0.99843097,0.71272177,0.9977985
7,0.99910223,0.7340503,0.9987769
8,0.999489,0.7520352,0.9993205
9,0.999819,0.7673247,0.9997641
10,0.99992806,0.7804099,0.99990785
11,0.9999715,0.7916841,0.999964
12,0.99997437,0.801458,0.999968
13,0.9999741,0.8099793,0.999968
14,0.99997383,0.81744576,0.999968
15,0.99997365,0.82401645,0.999968
16,0.99998343,0.82982147,0.99998
17,0.9999833,0.83496666,0.99998
18,0.9999832,0.83954114,0.99998
19,0.99998945,0.84361887,0.9999875
20,1.0,0.84726167,1.0
