step,loss,util,prob
10,1.0,"[[1.3028389]
 [1.2858814]
 [1.3039658]
 [1.3130198]
 [1.4981407]
 [1.3298209]
 [1.3019471]
 [1.303576 ]
 [1.3648463]
 [1.3084725]
 [1.3180684]
 [1.311844 ]
 [1.300928 ]
 [1.2974187]
 [1.2481741]
 [1.31314  ]
 [1.2403523]
 [1.2942698]
 [1.3134036]
 [1.3064001]
 [1.2882469]
 [1.3900895]
 [1.2943041]
 [1.2991546]
 [1.2973999]
 [1.296081 ]
 [1.3087192]
 [1.2819649]
 [1.3348101]
 [1.3060521]
 [1.3333511]
 [1.2856414]
 [1.2922475]
 [1.301314 ]
 [1.2791866]
 [1.2891718]
 [1.2900615]
 [1.2992815]
 [1.2979715]
 [1.2913966]
 [1.3009162]
 [1.1957386]
 [1.2470772]
 [1.2766414]
 [1.286158 ]
 [1.2815679]
 [1.290666 ]
 [1.3087143]
 [1.3068609]
 [1.3005527]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
11,1.0,"[[1.3030443]
 [1.2860923]
 [1.3041683]
 [1.3132128]
 [1.4981892]
 [1.3300126]
 [1.3021694]
 [1.3037863]
 [1.3650125]
 [1.3086766]
 [1.3182669]
 [1.3120431]
 [1.3011386]
 [1.2976348]
 [1.2483805]
 [1.3133419]
 [1.2405604]
 [1.2944943]
 [1.3136057]
 [1.3066044]
 [1.2884604]
 [1.3902291]
 [1.2945133]
 [1.2993658]
 [1.297624 ]
 [1.2962987]
 [1.3089203]
 [1.2821814]
 [1.3349884]
 [1.3062605]
 [1.3335352]
 [1.2858466]
 [1.2924559]
 [1.3015255]
 [1.2793974]
 [1.2893869]
 [1.2902732]
 [1.299484 ]
 [1.298186 ]
 [1.2916266]
 [1.3011391]
 [1.1959424]
 [1.2472812]
 [1.2768486]
 [1.2863669]
 [1.2817765]
 [1.2908858]
 [1.3089155]
 [1.3070655]
 [1.3007567]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
12,1.0,"[[1.3031707]
 [1.286222 ]
 [1.3042928]
 [1.3133311]
 [1.4982191]
 [1.3301303]
 [1.3023059]
 [1.3039153]
 [1.3651147]
 [1.3088018]
 [1.3183883]
 [1.3121653]
 [1.3012679]
 [1.2977674]
 [1.2485075]
 [1.3134657]
 [1.2406883]
 [1.2946321]
 [1.3137298]
 [1.3067299]
 [1.2885915]
 [1.3903149]
 [1.294642 ]
 [1.2994955]
 [1.2977617]
 [1.2964326]
 [1.3090438]
 [1.2823145]
 [1.3350978]
 [1.3063885]
 [1.3336481]
 [1.2859728]
 [1.2925838]
 [1.3016555]
 [1.2795268]
 [1.2895188]
 [1.2904035]
 [1.2996085]
 [1.2983177]
 [1.2917681]
 [1.3012761]
 [1.1960675]
 [1.2474066]
 [1.276976 ]
 [1.2864952]
 [1.2819046]
 [1.2910208]
 [1.309039 ]
 [1.3071913]
 [1.300882 ]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
13,1.0,"[[1.3032478]
 [1.2863013]
 [1.3043691]
 [1.3134035]
 [1.4982374]
 [1.3302023]
 [1.3023894]
 [1.3039944]
 [1.365177 ]
 [1.3088785]
 [1.3184628]
 [1.3122401]
 [1.3013471]
 [1.2978488]
 [1.2485851]
 [1.3135417]
 [1.2407665]
 [1.2947164]
 [1.3138058]
 [1.3068068]
 [1.2886717]
 [1.3903675]
 [1.2947206]
 [1.299575 ]
 [1.297846 ]
 [1.2965145]
 [1.3091193]
 [1.282396 ]
 [1.3351649]
 [1.3064667]
 [1.3337172]
 [1.28605  ]
 [1.2926621]
 [1.3017349]
 [1.2796061]
 [1.2895997]
 [1.2904831]
 [1.2996846]
 [1.2983984]
 [1.2918545]
 [1.3013597]
 [1.1961441]
 [1.2474834]
 [1.277054 ]
 [1.2865738]
 [1.281983 ]
 [1.2911035]
 [1.3091148]
 [1.3072681]
 [1.3009588]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
14,1.0,"[[1.3032951]
 [1.2863498]
 [1.3044156]
 [1.313448 ]
 [1.4982486]
 [1.3302464]
 [1.3024405]
 [1.3040429]
 [1.3652153]
 [1.3089255]
 [1.3185086]
 [1.3122858]
 [1.3013955]
 [1.2978985]
 [1.2486327]
 [1.313588 ]
 [1.2408144]
 [1.294768 ]
 [1.3138524]
 [1.3068538]
 [1.288721 ]
 [1.3903997]
 [1.2947688]
 [1.2996234]
 [1.2978976]
 [1.2965649]
 [1.3091658]
 [1.2824459]
 [1.3352059]
 [1.3065149]
 [1.3337598]
 [1.2860972]
 [1.2927101]
 [1.3017839]
 [1.2796546]
 [1.2896491]
 [1.290532 ]
 [1.2997313]
 [1.2984477]
 [1.2919074]
 [1.3014113]
 [1.1961911]
 [1.2475302]
 [1.2771015]
 [1.2866219]
 [1.2820312]
 [1.291154 ]
 [1.309161 ]
 [1.3073151]
 [1.3010058]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
15,1.0,"[[1.303324 ]
 [1.2863795]
 [1.3044442]
 [1.313475 ]
 [1.4982555]
 [1.3302734]
 [1.3024718]
 [1.3040723]
 [1.3652387]
 [1.308954 ]
 [1.3185363]
 [1.3123138]
 [1.3014251]
 [1.2979289]
 [1.2486616]
 [1.3136164]
 [1.2408438]
 [1.2947994]
 [1.3138807]
 [1.3068825]
 [1.2887509]
 [1.3904194]
 [1.294798 ]
 [1.299653 ]
 [1.297929 ]
 [1.2965955]
 [1.309194 ]
 [1.2824762]
 [1.335231 ]
 [1.3065441]
 [1.3337855]
 [1.2861261]
 [1.2927395]
 [1.3018135]
 [1.2796841]
 [1.2896793]
 [1.2905617]
 [1.2997599]
 [1.2984779]
 [1.2919397]
 [1.3014425]
 [1.1962198]
 [1.2475588]
 [1.2771307]
 [1.2866511]
 [1.2820605]
 [1.291185 ]
 [1.3091893]
 [1.3073438]
 [1.3010346]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
16,1.0,"[[1.3033415]
 [1.2863977]
 [1.3044615]
 [1.3134916]
 [1.4982597]
 [1.3302897]
 [1.3024908]
 [1.3040904]
 [1.3652529]
 [1.3089715]
 [1.3185534]
 [1.312331 ]
 [1.3014431]
 [1.2979475]
 [1.2486793]
 [1.3136337]
 [1.2408617]
 [1.2948188]
 [1.3138982]
 [1.3069001]
 [1.2887692]
 [1.3904314]
 [1.2948159]
 [1.2996712]
 [1.2979482]
 [1.2966142]
 [1.3092111]
 [1.2824948]
 [1.3352462]
 [1.306562 ]
 [1.3338014]
 [1.2861437]
 [1.2927573]
 [1.3018316]
 [1.2797022]
 [1.2896978]
 [1.2905799]
 [1.299777 ]
 [1.2984964]
 [1.2919595]
 [1.3014615]
 [1.1962371]
 [1.2475765]
 [1.2771484]
 [1.286669 ]
 [1.2820783]
 [1.2912039]
 [1.3092065]
 [1.3073614]
 [1.3010521]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
17,1.0,"[[1.3033524]
 [1.2864087]
 [1.3044721]
 [1.3135015]
 [1.4982622]
 [1.3302997]
 [1.3025024]
 [1.3041012]
 [1.3652616]
 [1.3089823]
 [1.3185637]
 [1.3123412]
 [1.3014542]
 [1.2979586]
 [1.2486901]
 [1.313644 ]
 [1.2408725]
 [1.2948306]
 [1.3139085]
 [1.3069108]
 [1.2887803]
 [1.3904386]
 [1.2948269]
 [1.2996821]
 [1.2979599]
 [1.2966254]
 [1.3092216]
 [1.2825061]
 [1.3352554]
 [1.3065728]
 [1.3338109]
 [1.2861544]
 [1.292768 ]
 [1.3018426]
 [1.2797132]
 [1.289709 ]
 [1.2905908]
 [1.2997878]
 [1.2985075]
 [1.2919714]
 [1.3014731]
 [1.1962478]
 [1.247587 ]
 [1.2771591]
 [1.28668  ]
 [1.2820891]
 [1.2912152]
 [1.3092169]
 [1.3073722]
 [1.3010626]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
18,1.0,"[[1.3033588]
 [1.2864152]
 [1.3044785]
 [1.3135077]
 [1.4982636]
 [1.3303058]
 [1.3025095]
 [1.304108 ]
 [1.3652669]
 [1.3089886]
 [1.31857  ]
 [1.3123477]
 [1.3014609]
 [1.2979654]
 [1.2486967]
 [1.3136505]
 [1.2408792]
 [1.2948375]
 [1.313915 ]
 [1.3069172]
 [1.2887872]
 [1.3904431]
 [1.2948335]
 [1.2996887]
 [1.2979671]
 [1.2966324]
 [1.3092281]
 [1.282513 ]
 [1.3352611]
 [1.3065795]
 [1.3338168]
 [1.286161 ]
 [1.2927748]
 [1.3018492]
 [1.2797198]
 [1.2897158]
 [1.2905974]
 [1.2997942]
 [1.2985144]
 [1.2919786]
 [1.3014803]
 [1.1962543]
 [1.2475934]
 [1.2771658]
 [1.2866865]
 [1.2820957]
 [1.2912221]
 [1.3092233]
 [1.3073785]
 [1.3010689]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
19,1.0,"[[1.3033626]
 [1.2864194]
 [1.3044823]
 [1.3135114]
 [1.4982646]
 [1.3303094]
 [1.3025137]
 [1.304112 ]
 [1.3652699]
 [1.3089925]
 [1.3185737]
 [1.3123513]
 [1.3014647]
 [1.2979696]
 [1.2487005]
 [1.3136543]
 [1.240883 ]
 [1.2948418]
 [1.3139188]
 [1.306921 ]
 [1.2887912]
 [1.3904457]
 [1.2948374]
 [1.2996927]
 [1.2979712]
 [1.2966365]
 [1.3092319]
 [1.2825171]
 [1.3352646]
 [1.3065833]
 [1.3338202]
 [1.2861648]
 [1.2927786]
 [1.3018533]
 [1.2797238]
 [1.2897197]
 [1.2906016]
 [1.2997979]
 [1.2985183]
 [1.2919831]
 [1.3014843]
 [1.1962582]
 [1.2475973]
 [1.2771697]
 [1.2866905]
 [1.2820997]
 [1.2912264]
 [1.3092271]
 [1.3073823]
 [1.301073 ]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
20,1.0,"[[1.303365 ]
 [1.2864217]
 [1.3044847]
 [1.3135136]
 [1.4982651]
 [1.3303115]
 [1.3025162]
 [1.3041143]
 [1.3652719]
 [1.3089949]
 [1.318576 ]
 [1.3123536]
 [1.3014673]
 [1.2979722]
 [1.248703 ]
 [1.3136566]
 [1.2408854]
 [1.2948446]
 [1.3139212]
 [1.3069234]
 [1.2887936]
 [1.3904474]
 [1.2948399]
 [1.2996953]
 [1.2979739]
 [1.296639 ]
 [1.3092343]
 [1.2825196]
 [1.3352666]
 [1.3065857]
 [1.3338225]
 [1.2861671]
 [1.2927811]
 [1.3018558]
 [1.2797263]
 [1.2897223]
 [1.290604 ]
 [1.2998003]
 [1.2985209]
 [1.2919856]
 [1.301487 ]
 [1.1962605]
 [1.2475997]
 [1.2771721]
 [1.286693 ]
 [1.2821022]
 [1.2912288]
 [1.3092295]
 [1.3073848]
 [1.3010755]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
