step,loss,util,prob
0,0.99999845,"[[1.2101569]
 [1.189707 ]
 [1.2115494]
 [1.22524  ]
 [1.4773571]
 [1.2429675]
 [1.2048719]
 [1.207835 ]
 [1.2920749]
 [1.2168832]
 [1.2268871]
 [1.2213732]
 [1.2060072]
 [1.1996447]
 [1.1544876]
 [1.2217752]
 [1.1448132]
 [1.191532 ]
 [1.2218527]
 [1.2127959]
 [1.1923761]
 [1.3269112]
 [1.1993469]
 [1.2008562]
 [1.1981907]
 [1.1988279]
 [1.2177444]
 [1.1845413]
 [1.2541602]
 [1.2119828]
 [1.2505888]
 [1.1925523]
 [1.198033 ]
 [1.2040437]
 [1.1837682]
 [1.1915412]
 [1.1941729]
 [1.2075125]
 [1.2023286]
 [1.189538 ]
 [1.2033669]
 [1.1020247]
 [1.1530031]
 [1.1826936]
 [1.1906825]
 [1.1871341]
 [1.1911004]
 [1.215618 ]
 [1.2140923]
 [1.2084317]]","[[0.9999964 ]
 [0.99999994]
 [0.9999996 ]
 [0.99999803]
 [0.99999946]
 [0.99999994]
 [1.        ]
 [0.99999976]
 [0.99999994]
 [0.99999994]
 [1.        ]
 [0.9999985 ]
 [0.9999985 ]
 [0.99999994]
 [0.9999973 ]
 [0.99999994]
 [0.9999992 ]
 [0.9999992 ]
 [0.99999994]
 [0.9999995 ]
 [0.9999999 ]
 [0.99999857]
 [0.99999887]
 [0.99999803]
 [1.        ]
 [0.9999999 ]
 [0.9999985 ]
 [0.9999982 ]
 [0.99996465]
 [1.        ]
 [0.99999976]
 [0.9999992 ]
 [0.99999964]
 [0.9999998 ]
 [0.9999994 ]
 [0.9999996 ]
 [0.99999636]
 [0.9999994 ]
 [0.9999996 ]
 [0.9999999 ]
 [1.        ]
 [0.99999946]
 [0.9999968 ]
 [0.99999994]
 [0.9999999 ]
 [0.9999998 ]
 [0.9999989 ]
 [1.        ]
 [1.        ]
 [0.9999985 ]]"
1,1.0,"[[1.2551516]
 [1.2364198]
 [1.2566756]
 [1.2680604]
 [1.4872794]
 [1.2847744]
 [1.2510165]
 [1.253913 ]
 [1.3267211]
 [1.2612376]
 [1.2709085]
 [1.265351 ]
 [1.2520882]
 [1.2474158]
 [1.2000505]
 [1.2660209]
 [1.1913532]
 [1.24122  ]
 [1.2663734]
 [1.258275 ]
 [1.2387401]
 [1.3574675]
 [1.245544 ]
 [1.2480998]
 [1.2455897]
 [1.2456781]
 [1.2620009]
 [1.2316759]
 [1.2933617]
 [1.2577686]
 [1.2906514]
 [1.2378259]
 [1.2438202]
 [1.2521197]
 [1.2300975]
 [1.2389257]
 [1.2407776]
 [1.2521759]
 [1.2484391]
 [1.2381423]
 [1.2497985]
 [1.1478648]
 [1.1987629]
 [1.2283074]
 [1.2371132]
 [1.2329971]
 [1.2394096]
 [1.2610997]
 [1.2591227]
 [1.2531501]]","[[1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [0.99999994]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [0.99999994]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]
 [1.        ]]"
2,1.0,"[[1.275977 ]
 [1.2581098]
 [1.2773918]
 [1.2877645]
 [1.491871 ]
 [1.304455 ]
 [1.2730511]
 [1.2757969]
 [1.3432314]
 [1.2818396]
 [1.2915907]
 [1.2856162]
 [1.2734027]
 [1.2692438]
 [1.2211031]
 [1.2866281]
 [1.2128615]
 [1.2645924]
 [1.2869153]
 [1.2793936]
 [1.2603321]
 [1.3717694]
 [1.2668679]
 [1.2705132]
 [1.2681129]
 [1.2676184]
 [1.2824209]
 [1.2535992]
 [1.3114834]
 [1.2789148]
 [1.3092855]
 [1.2587444]
 [1.2649906]
 [1.2737206]
 [1.2515614]
 [1.2609248]
 [1.2623237]
 [1.272763 ]
 [1.269987 ]
 [1.261268 ]
 [1.2719285]
 [1.1688999]
 [1.2200114]
 [1.2494527]
 [1.2586355]
 [1.2542363]
 [1.2618368]
 [1.2820624]
 [1.2800076]
 [1.2738566]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
3,1.0,"[[1.2871207]
 [1.2696716]
 [1.2884357]
 [1.2982594]
 [1.4944149]
 [1.3150189]
 [1.284987 ]
 [1.2874086]
 [1.3521637]
 [1.2928795]
 [1.3026655]
 [1.2965089]
 [1.2848186]
 [1.2809184]
 [1.2323476]
 [1.2976521]
 [1.2243197]
 [1.2769943]
 [1.2979113]
 [1.2906517]
 [1.2719089]
 [1.3793854]
 [1.2782636]
 [1.2825707]
 [1.2802466]
 [1.2794106]
 [1.2933336]
 [1.2653605]
 [1.3211671]
 [1.2901685]
 [1.3192685]
 [1.2699155]
 [1.2763041]
 [1.2851555]
 [1.2630348]
 [1.2726709]
 [1.2738384]
 [1.2837703]
 [1.2815745]
 [1.2737564]
 [1.283906 ]
 [1.1800787]
 [1.2313226]
 [1.2607503]
 [1.2700998]
 [1.2655878]
 [1.2738142]
 [1.2931944]
 [1.2911674]
 [1.2849344]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
4,1.0,"[[1.2935232]
 [1.2762897]
 [1.2947685]
 [1.3042755]
 [1.495921 ]
 [1.3210738]
 [1.2918811]
 [1.2940094]
 [1.3573201]
 [1.2992282]
 [1.3089875]
 [1.3027729]
 [1.2913799]
 [1.2876325]
 [1.2387997]
 [1.3039722]
 [1.2308728]
 [1.2840585]
 [1.3042259]
 [1.2970897]
 [1.278564 ]
 [1.3837488]
 [1.2848039]
 [1.2894206]
 [1.2872314]
 [1.2861972]
 [1.2996011]
 [1.2721257]
 [1.3267266]
 [1.2966288]
 [1.3250052]
 [1.2763255]
 [1.2828   ]
 [1.2917298]
 [1.2696197]
 [1.2794036]
 [1.2804493]
 [1.2900912]
 [1.2882475]
 [1.2809452]
 [1.2908216]
 [1.1864733]
 [1.2377737]
 [1.2672305]
 [1.2766587]
 [1.2721021]
 [1.2806851]
 [1.2995456]
 [1.2975684]
 [1.2912973]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
5,1.0,"[[1.2973408]
 [1.2802259]
 [1.2985399]
 [1.3078598]
 [1.4968306]
 [1.32467  ]
 [1.296002 ]
 [1.2979348]
 [1.3604015]
 [1.3030155]
 [1.3127288]
 [1.3064997]
 [1.2952929]
 [1.2916399]
 [1.2426432]
 [1.3077337]
 [1.234766 ]
 [1.2882515]
 [1.3079888]
 [1.300914 ]
 [1.2825326]
 [1.3863482]
 [1.2887   ]
 [1.2934469]
 [1.2913986]
 [1.2902467]
 [1.3033377]
 [1.2761601]
 [1.33004  ]
 [1.3004854]
 [1.3284255]
 [1.2801446]
 [1.286672 ]
 [1.2956545]
 [1.2735425]
 [1.283411 ]
 [1.2843894]
 [1.2938582]
 [1.2922307]
 [1.2852308]
 [1.2949545]
 [1.1902755]
 [1.2415985]
 [1.2710898]
 [1.280558 ]
 [1.2759831]
 [1.2847778]
 [1.3033139]
 [1.3013799]
 [1.2950906]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
6,1.0,"[[1.2996616]
 [1.2826151]
 [1.300831 ]
 [1.3100381]
 [1.4973849]
 [1.3268489]
 [1.2985103]
 [1.3003185]
 [1.362277 ]
 [1.3053186]
 [1.3149902]
 [1.3087595]
 [1.2976714]
 [1.2940782]
 [1.2449787]
 [1.3100173]
 [1.2371273]
 [1.2907946]
 [1.3102752]
 [1.303233 ]
 [1.2849449]
 [1.387928 ]
 [1.2910666]
 [1.2958694]
 [1.2939321]
 [1.2927091]
 [1.3056091]
 [1.2786115]
 [1.3320538]
 [1.302833 ]
 [1.3305048]
 [1.2824653]
 [1.2890255]
 [1.2980425]
 [1.2759258]
 [1.2858443]
 [1.2867839]
 [1.2961477]
 [1.2946535]
 [1.2878346]
 [1.2974701]
 [1.1925833]
 [1.2439156]
 [1.273434 ]
 [1.282924 ]
 [1.2783413]
 [1.2872642]
 [1.3055973]
 [1.3036947]
 [1.2973963]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
7,1.0,"[[1.3010861]
 [1.28408  ]
 [1.3022366]
 [1.3113748]
 [1.4977244]
 [1.3281827]
 [1.3000507]
 [1.3017799]
 [1.3634287]
 [1.3067325]
 [1.3163725]
 [1.3101436]
 [1.2991315]
 [1.2955753]
 [1.2464113]
 [1.3114178]
 [1.2385741]
 [1.2923534]
 [1.3116779]
 [1.3046539]
 [1.2864252]
 [1.3888972]
 [1.2925184]
 [1.2973466]
 [1.2954869]
 [1.2942207]
 [1.3070034]
 [1.2801155]
 [1.3332895]
 [1.3042752]
 [1.3317808]
 [1.2838893]
 [1.29047  ]
 [1.2995086]
 [1.2773879]
 [1.2873366]
 [1.2882534]
 [1.2975527]
 [1.2961408]
 [1.2894319]
 [1.2990146]
 [1.1939983]
 [1.2453341]
 [1.2748721]
 [1.2843746]
 [1.279788 ]
 [1.2887894]
 [1.306996 ]
 [1.3051145]
 [1.2988114]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
8,1.0,"[[1.3019637]
 [1.2849821]
 [1.3031025]
 [1.3121985]
 [1.4979331]
 [1.3290035]
 [1.3010002]
 [1.3026797]
 [1.3641385]
 [1.3076038]
 [1.3172225]
 [1.3109956]
 [1.3000311]
 [1.2964982]
 [1.2472941]
 [1.3122804]
 [1.2394649]
 [1.2933135]
 [1.3125422]
 [1.3055285]
 [1.2873374]
 [1.3894942]
 [1.2934127]
 [1.2982532]
 [1.296445 ]
 [1.2951522]
 [1.3078625]
 [1.2810417]
 [1.334051 ]
 [1.3051646]
 [1.3325671]
 [1.2847666]
 [1.2913601]
 [1.3004124]
 [1.2782886]
 [1.2882557]
 [1.2891588]
 [1.2984183]
 [1.2970574]
 [1.2904159]
 [1.2999669]
 [1.1948699]
 [1.2462074]
 [1.2757581]
 [1.2852678]
 [1.2806793]
 [1.2897292]
 [1.3078569]
 [1.3059893]
 [1.2996833]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
9,1.0,"[[1.3025053]
 [1.2855386]
 [1.3036366]
 [1.3127067]
 [1.4980617]
 [1.3295093]
 [1.301586 ]
 [1.3032343]
 [1.3645766]
 [1.3081412]
 [1.317746 ]
 [1.3115205]
 [1.3005861]
 [1.2970678]
 [1.2478385]
 [1.3128123]
 [1.240014 ]
 [1.2939053]
 [1.313075 ]
 [1.3060678]
 [1.2879002]
 [1.3898625]
 [1.2939641]
 [1.2988112]
 [1.2970357]
 [1.2957267]
 [1.3083925]
 [1.2816129]
 [1.3345207]
 [1.3057135]
 [1.3330522]
 [1.2853079]
 [1.2919091]
 [1.3009702]
 [1.2788444]
 [1.2888225]
 [1.2897172]
 [1.2989523]
 [1.2976229]
 [1.2910227]
 [1.3005543]
 [1.1954073]
 [1.2467457]
 [1.2763046]
 [1.2858187]
 [1.2812291]
 [1.2903088]
 [1.3083874]
 [1.3065284]
 [1.3002212]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
