step,loss,util,prob
0,0.9688201,0.45480087,0.93144274
1,0.97829324,0.51457286,0.957816
2,0.9938988,0.56664884,0.98923284
3,0.9966751,0.60855067,0.99453634
4,0.99834216,0.6425572,0.99741995
5,0.99859434,0.67028993,0.9979029
6,0.99978316,0.6931136,0.99968714
7,0.9998608,0.711813,0.99980444
8,0.9999726,0.7273041,0.9999623
9,0.99998254,0.740309,0.9999764
10,0.9999962,0.7513821,0.9999949
11,0.99999845,0.76091856,0.999998
12,0.9999988,0.7692044,0.99999845
13,0.9999992,0.77645206,0.999999
14,0.9999992,0.7828248,0.999999
15,0.9999995,0.7884511,0.9999994
16,0.9999997,0.79343575,0.99999964
17,0.9999998,0.7978645,0.99999976
18,0.9999998,0.80180913,0.99999976
19,1.0,0.80533063,1.0
20,1.0,0.8084807,1.0
