step,loss,util,prob
0,0.6950029,0.47281945,0.3549397
1,0.6927669,0.47628587,0.3549397
2,0.6905527,0.47971845,0.3549397
3,0.6883588,0.4831195,0.3549397
4,0.6861841,0.4864908,0.3549397
5,0.68402725,0.48983446,0.3549397
6,0.6958045,0.4931523,0.38316107
7,0.69377756,0.4964383,0.38316107
8,0.69176793,0.49969614,0.38316107
9,0.689774,0.50292873,0.38316107
10,0.6877941,0.50613856,0.38316107
11,0.68582696,0.5093275,0.38316107
12,0.6838717,0.5124973,0.38316107
13,0.68192744,0.5156494,0.38316107
14,0.67999315,0.51878506,0.38316107
15,0.67806846,0.52190536,0.38316107
16,0.6799585,0.52501124,0.39041024
17,0.6780747,0.52810156,0.39041024
18,0.6761997,0.5311774,0.39041024
19,0.67433286,0.53423977,0.39041024
20,0.67247355,0.53728986,0.39041024
21,0.6706214,0.5403285,0.39041024
22,0.66877544,0.5433565,0.39041024
23,0.66693556,0.5463746,0.39041024
24,0.6651014,0.5493836,0.39041024
25,0.66327226,0.5523842,0.39041024
26,0.66144794,0.55537695,0.39041024
27,0.659628,0.5583625,0.39041024
28,0.6578121,0.5613413,0.39041024
29,0.66004294,0.5643137,0.39757425
30,0.65825725,0.56727785,0.39757425
31,0.656476,0.57023454,0.39757425
32,0.6546992,0.5731841,0.39757425
33,0.6681106,0.5761273,0.42393047
34,0.6664239,0.5790552,0.42393047
35,0.6647452,0.58196926,0.42393047
36,0.66307354,0.58487123,0.42393047
37,0.6685784,0.58776206,0.43612957
38,0.6669563,0.59063864,0.43612957
39,0.66534156,0.5935024,0.43612957
40,0.6637332,0.5963548,0.43612957
41,0.6621305,0.5991971,0.43612957
42,0.66053295,0.6020302,0.43612957
