step,loss,util,prob
0,0.580592,0.5263329,0.20315069
1,0.57806444,0.52950484,0.20315069
2,0.57554424,0.5326676,0.20315069
3,0.57303226,0.53582,0.20315069
4,0.5705292,0.53896105,0.20315069
5,0.56803584,0.5420901,0.20315069
6,0.56555235,0.5452068,0.20315069
7,0.5630791,0.5483106,0.20315069
8,0.560616,0.55140156,0.20315069
9,0.5581629,0.5544801,0.20315069
10,0.55571973,0.55754614,0.20315069
11,0.5627458,0.56060034,0.22002512
12,0.56037533,0.5636395,0.22002512
13,0.5580156,0.56666493,0.22002512
14,0.55566597,0.5696774,0.22002512
15,0.5533252,0.5726785,0.22002512
16,0.5509927,0.5756689,0.22002512
17,0.5486678,0.5786497,0.22002512
18,0.55168086,0.58162194,0.22919148
19,0.54939735,0.58458436,0.22919148
20,0.5471206,0.5875382,0.22919148
21,0.5448494,0.5904847,0.22919148
22,0.5425831,0.59342486,0.22919148
23,0.55005515,0.5963599,0.24551445
24,0.54784703,0.5992865,0.24551445
25,0.54564416,0.6022061,0.24551445
26,0.5434456,0.6051201,0.24551445
27,0.5412504,0.60802966,0.24551445
28,0.53905773,0.61093587,0.24551445
29,0.5368669,0.61383957,0.24551445
30,0.53467727,0.6167417,0.24551445
31,0.53248835,0.61964303,0.24551445
32,0.53029954,0.62254405,0.24551445
33,0.5281104,0.62544554,0.24551445
34,0.5259206,0.62834775,0.24551445
35,0.5237299,0.6312514,0.24551445
36,0.5215379,0.63415676,0.24551445
37,0.51934433,0.63706404,0.24551445
38,0.5171492,0.63997364,0.24551445
39,0.51495194,0.6428858,0.24551445
40,0.5127527,0.6458006,0.24551445
41,0.5105516,0.6487181,0.24551445
42,0.5083481,0.6516386,0.24551445
43,0.5061424,0.6545622,0.24551445
44,0.52563727,0.6574886,0.2785232
45,0.5235307,0.66040814,0.2785232
46,0.5214286,0.6633219,0.2785232
47,0.54035926,0.666231,0.31008792
48,0.53836185,0.66912603,0.31008792
49,0.53637254,0.6720094,0.31008792
50,0.53439045,0.6748824,0.31008792
51,0.53241426,0.6777469,0.31008792
52,0.5304432,0.68060386,0.31008792
53,0.5284764,0.6834546,0.31008792
