step,loss,util,prob
0,0.9999194145202637,0.11713678389787674,0.9993119835853577
1,0.9998074173927307,0.20230534672737122,0.9990480542182922
2,0.999674379825592,0.2856557369232178,0.9988601207733154
3,0.9994576573371887,0.36676087975502014,0.9985213279724121
4,0.999312698841095,0.4449772834777832,0.9984554648399353
5,0.9990899562835693,0.5204125642776489,0.9982512593269348
6,0.998823881149292,0.5924550890922546,0.9980148673057556
7,0.9986225962638855,0.660515546798706,0.9979146718978882
8,0.9984256029129028,0.7240418791770935,0.9978255033493042
9,0.9981749653816223,0.7825766205787659,0.9976679086685181
10,0.9980050325393677,0.8358696699142456,0.9976133108139038
11,0.9978178143501282,0.8838115930557251,0.9975309371948242
12,0.9976587891578674,0.9266660809516907,0.9974735379219055
13,0.9975188970565796,0.9648619890213013,0.9974285364151001
14,0.9973720908164978,0.9988449811935425,0.9973690509796143
15,0.9972561001777649,1.029070496559143,0.9973335862159729
16,0.9971662163734436,1.0559684038162231,0.9973164200782776
17,0.9970594048500061,1.079933524131775,0.9972770810127258
18,0.9969903230667114,1.1013327836990356,0.9972672462463379
19,0.9969231486320496,1.1204642057418823,0.997253954410553
20,0.9968608617782593,1.137617826461792,0.9972406029701233
21,0.9968031048774719,1.153092861175537,0.9972275495529175
22,0.9967485070228577,1.167119026184082,0.9972140789031982
23,0.9966784715652466,1.1798776388168335,0.9971848726272583
24,0.9966217875480652,1.1915260553359985,0.997164785861969
25,0.9965804815292358,1.2022016048431396,0.9971556067466736
26,0.9965334534645081,1.21201753616333,0.9971398711204529
27,0.9965007901191711,1.2210736274719238,0.9971343278884888
28,0.9964767694473267,1.2294576168060303,0.9971343278884888
29,0.9964414238929749,1.237243890762329,0.9971237778663635
30,0.9963963627815247,1.2444994449615479,0.9971043467521667
31,0.9963766932487488,1.2512863874435425,0.9971043467521667
32,0.996347188949585,1.2576515674591064,0.99709552526474
33,0.9963297843933105,1.2636409997940063,0.99709552526474
34,0.9963129758834839,1.2692921161651611,0.9970952272415161
35,0.9962950348854065,1.2746362686157227,0.9970933198928833
36,0.9962713122367859,1.2797036170959473,0.9970862865447998
37,0.9962548017501831,1.2845203876495361,0.997084379196167
38,0.9962387084960938,1.2891091108322144,0.9970822334289551
39,0.996225893497467,1.2934890985488892,0.9970822334289551
40,0.9962136745452881,1.2976785898208618,0.9970822334289551
41,0.9962019324302673,1.3016941547393799,0.9970822334289551
42,0.996188223361969,1.3055487871170044,0.9970803260803223
43,0.9961598515510559,1.309255838394165,0.9970669150352478
44,0.9961493611335754,1.3128269910812378,0.9970669150352478
45,0.9961392283439636,1.31627357006073,0.9970669150352478
46,0.9961295127868652,1.3196041584014893,0.9970669150352478
47,0.9961075186729431,1.3228272199630737,0.9970574378967285
48,0.9960967898368835,1.3259499073028564,0.9970563054084778
49,0.996087908744812,1.3289800882339478,0.9970563054084778
50,0.9960792064666748,1.331923484802246,0.9970563054084778
51,0.9960708022117615,1.33478581905365,0.9970563054084778
52,0.9960625767707825,1.3375717401504517,0.9970563054084778
53,0.9960545897483826,1.3402857780456543,0.9970563054084778
54,0.9960399270057678,1.3429319858551025,0.9970511794090271
55,0.9960322976112366,1.3455156087875366,0.9970511794090271
56,0.996005117893219,1.348040223121643,0.9970365166664124
57,0.9959977865219116,1.3505077362060547,0.9970365166664124
58,0.9959906339645386,1.352924108505249,0.9970365166664124
59,0.9959836006164551,1.3552895784378052,0.9970365166664124
60,0.9959767460823059,1.3576080799102783,0.9970365166664124
61,0.9959630370140076,1.3598812818527222,0.9970313906669617
62,0.9959564208984375,1.3621121644973755,0.9970313906669617
63,0.995949923992157,1.3643012046813965,0.9970313906669617
64,0.9959399700164795,1.3664517402648926,0.9970287680625916
65,0.9959336519241333,1.3685649633407593,0.9970287680625916
66,0.9959275126457214,1.3706425428390503,0.9970287680625916
67,0.9959188103675842,1.3726849555969238,0.9970268607139587
68,0.9959128499031067,1.3746960163116455,0.9970268607139587
69,0.9959069490432739,1.3766744136810303,0.9970268607139587
70,0.9959011673927307,1.378622055053711,0.9970268607139587
71,0.9958887696266174,1.3805421590805054,0.9970220327377319
72,0.9958831667900085,1.3824323415756226,0.9970220327377319
73,0.9958776235580444,1.3842978477478027,0.9970220327377319
74,0.995867908000946,1.3861360549926758,0.9970189929008484
