step,loss,util,prob
0,0.9321522,0.5601048,0.8832752
1,0.98564905,0.6889788,0.97983027
2,0.99830884,0.7679411,0.99785167
3,1.0,0.81547797,1.0
4,1.0,0.8458168,1.0
5,1.0,0.86654174,1.0
6,1.0,0.88147426,1.0
7,1.0,0.89196706,1.0
8,1.0,0.8989123,1.0
9,1.0,0.90355814,1.0
10,1.0,0.90668535,1.0
11,1.0,0.9087981,1.0
12,1.0,0.9102277,1.0
13,1.0,0.91119564,1.0
14,1.0,0.91185087,1.0
15,1.0,0.9122941,1.0
16,1.0,0.9125938,1.0
17,1.0,0.91279614,1.0
18,1.0,0.9129326,1.0
19,1.0,0.9130244,1.0
20,1.0,0.91308635,1.0
