step,loss,util,prob
0,0.94587725,0.42311898,0.87208617
1,0.9510373,0.48111963,0.89823174
2,0.9626668,0.5336247,0.93003845
3,0.9876953,0.57993823,0.97878265
4,0.99679774,0.61818945,0.99482
5,0.99701023,0.64931816,0.99539554
6,0.99814224,0.6750777,0.9972481
7,0.99940836,0.69659936,0.99915063
8,0.99978924,0.7146856,0.9997051
9,0.9999159,0.7300088,0.9998848
10,0.9999465,0.74309456,0.999928
11,0.9999457,0.7543526,0.999928
12,0.999945,0.7641026,0.999928
13,0.99996525,0.7725957,0.999955
14,0.9999649,0.7800306,0.999955
15,0.9999646,0.7865683,0.999955
16,0.9999777,0.79234034,0.99997187
17,0.99998754,0.79745317,0.9999844
18,1.0,0.8019954,1.0
19,1.0,0.80604076,1.0
20,1.0,0.80965227,1.0
