step,loss,util,prob
0,0.99990714,"[[1.1310066]
 [1.174362 ]
 [1.0592079]
 [1.1873271]
 [1.1945096]]","[[0.99985105]
 [0.99999857]
 [0.999999  ]
 [0.99975467]
 [0.9999982 ]]"
1,0.9999997,"[[1.1778508]
 [1.2199037]
 [1.1056472]
 [1.2314622]
 [1.238424 ]]","[[0.9999994 ]
 [0.99999994]
 [0.99999994]
 [0.9999995 ]
 [0.9999999 ]]"
2,1.0,"[[1.2048931]
 [1.2461241]
 [1.1324673]
 [1.2568448]
 [1.2635032]]","[[1.        ]
 [1.        ]
 [1.        ]
 [0.99999994]
 [1.        ]]"
3,1.0,"[[1.2217944]
 [1.2625049]
 [1.1492451]
 [1.2727077]
 [1.2792075]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
4,1.0,"[[1.233026 ]
 [1.2733946]
 [1.1604048]
 [1.2832606]
 [1.2896712]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
5,1.0,"[[1.2407931]
 [1.2809293]
 [1.1681279]
 [1.2905662]
 [1.2969178]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
6,1.0,"[[1.2463088]
 [1.286283 ]
 [1.1736153]
 [1.2957587]
 [1.3020672]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
7,1.0,"[[1.2502972]
 [1.2901561]
 [1.1775848]
 [1.2995155]
 [1.3057908]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
8,1.0,"[[1.2532172]
 [1.2929926]
 [1.1804911]
 [1.3022667]
 [1.3085164]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
9,1.0,"[[1.2553728]
 [1.2950871]
 [1.182637 ]
 [1.3042982]
 [1.310528 ]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
10,1.0,"[[1.256973 ]
 [1.2966425]
 [1.1842303]
 [1.3058065]
 [1.312021 ]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
11,1.0,"[[1.2581655]
 [1.2978017]
 [1.1854175]
 [1.3069305]
 [1.3131334]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
12,1.0,"[[1.2590564]
 [1.2986677]
 [1.1863043]
 [1.3077703]
 [1.3139639]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
13,1.0,"[[1.2597225]
 [1.2993153]
 [1.1869674]
 [1.3083982]
 [1.314585 ]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
14,1.0,"[[1.2602209]
 [1.2997999]
 [1.1874636]
 [1.3088679]
 [1.3150495]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
15,1.0,"[[1.2605938]
 [1.3001627]
 [1.187835 ]
 [1.3092195]
 [1.3153973]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
16,1.0,"[[1.260873 ]
 [1.3004341]
 [1.1881129]
 [1.3094827]
 [1.3156575]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
17,1.0,"[[1.2610817]
 [1.3006369]
 [1.1883205]
 [1.3096794]
 [1.3158519]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
18,1.0,"[[1.2612376]
 [1.3007886]
 [1.1884757]
 [1.3098264]
 [1.3159972]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
19,1.0,"[[1.2613541]
 [1.3009019]
 [1.1885917]
 [1.3099362]
 [1.3161058]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
20,1.0,"[[1.2614412]
 [1.3009865]
 [1.1886784]
 [1.3100182]
 [1.3161869]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
