step,loss,util,prob
0,0.9851909,0.59149694,0.97494245
1,0.99973124,0.71982574,0.99962866
2,0.99998903,0.7987503,0.99998635
3,1.0,0.8474073,1.0
4,1.0,0.877707,1.0
5,1.0,0.8973812,1.0
6,1.0,0.91078115,1.0
7,1.0,0.9203079,1.0
8,1.0,0.92717004,1.0
9,1.0,0.9317633,1.0
10,1.0,0.9348569,1.0
11,1.0,0.9369477,1.0
12,1.0,0.93836296,1.0
13,1.0,0.9393212,1.0
14,1.0,0.9399702,1.0
15,1.0,0.94040936,1.0
16,1.0,0.940706,1.0
17,1.0,0.9409064,1.0
18,1.0,0.9410416,1.0
19,1.0,0.94113255,1.0
20,1.0,0.94119394,1.0
