step,loss,util,prob
0,0.89640135,0.51677203,0.79952735
1,0.89577794,0.51988155,0.79952735
2,0.896385,0.52299976,0.80188334
3,0.9003263,0.526124,0.8105509
4,0.89973456,0.5292474,0.8105509
5,0.89914274,0.53237146,0.8105509
6,0.89855075,0.53549623,0.8105509
7,0.89795876,0.5386211,0.8105509
8,0.8973669,0.5417451,0.8105509
9,0.8967755,0.54486686,0.8105509
10,0.89618474,0.5479851,0.8105509
11,0.89559495,0.5510982,0.8105509
12,0.8950064,0.55420464,0.8105509
13,0.8944195,0.5573029,0.8105509
14,0.89508206,0.56039137,0.8127774
15,0.89450634,0.5634665,0.8127774
16,0.8939333,0.5665273,0.8127774
17,0.8933631,0.56957275,0.8127774
18,0.892796,0.5726019,0.8127774
19,0.892232,0.5756141,0.8127774
20,0.8916714,0.5786086,0.8127774
21,0.8911142,0.58158475,0.8127774
22,0.9027204,0.5845424,0.8335799
23,0.902235,0.58745927,0.8335799
24,0.9017558,0.59033847,0.8335799
25,0.9012824,0.59318304,0.8335799
26,0.90081435,0.59599566,0.8335799
27,0.90035117,0.59877896,0.8335799
28,0.89989245,0.6015351,0.8335799
29,0.8994379,0.6042663,0.8335799
30,0.8989872,0.6069747,0.8335799
31,0.89853996,0.60966223,0.8335799
