step,loss,util,prob
0,0.99767804,0.562532,0.9957956
1,0.99997914,0.6796562,0.9999686
2,0.9999998,0.74015254,0.9999997
3,1.0,0.77464294,1.0
4,1.0,0.7957918,1.0
5,1.0,0.80935943,1.0
6,1.0,0.8182564,1.0
7,1.0,0.82418954,1.0
8,1.0,0.82818717,1.0
9,1.0,0.830899,1.0
10,1.0,0.8327467,1.0
11,1.0,0.83401,1.0
12,1.0,0.8348768,1.0
13,1.0,0.8354744,1.0
14,1.0,0.83588886,1.0
15,1.0,0.83617944,1.0
16,1.0,0.8363859,1.0
17,1.0,0.8365358,1.0
18,1.0,0.83664745,1.0
19,1.0,0.8367335,1.0
20,1.0,0.83680266,1.0
