step,loss,util,prob
0,0.9203454,0.47180498,0.8337218
1,0.9508168,0.64971733,0.9213173
2,0.9643109,0.7520459,0.9503337
3,0.9738452,0.804026,0.96694356
4,0.9766173,0.8343761,0.97176486
5,0.9769746,0.8540766,0.97288626
6,0.97727096,0.86758953,0.97384375
7,0.98170733,0.8769401,0.97909373
8,0.9848879,0.8835545,0.9830937
9,0.9848107,0.8884006,0.9830937
10,0.9856261,0.8920531,0.9843437
11,0.98558587,0.89493996,0.9843437
12,0.99182457,0.8973758,0.9918437
13,0.9948323,0.89950204,0.9948437
14,0.99482465,0.90141654,0.9948437
15,0.9948176,0.9031945,0.9948437
16,0.9948113,0.9047909,0.9948437
17,0.99480546,0.90624595,0.9948437
18,0.9947999,0.90762174,0.9948437
19,0.9947946,0.90895605,0.9948437
20,0.9947893,0.91027087,0.9948437
