step,loss,util,prob
0,0.9917606,0.4547876,0.9818829
1,0.9973454,0.51262945,0.9948216
2,0.998803,0.5593411,0.9978601
3,0.9995233,0.5970264,0.99920154
4,0.9999033,0.62760186,0.999846
5,0.99995965,0.65259284,0.9999382
6,0.9999903,0.673318,0.9999856
7,0.99999565,0.69071186,0.9999937
8,0.99999934,0.7054665,0.9999991
9,0.9999998,0.71809435,0.99999976
10,0.9999998,0.7289856,0.99999976
11,0.99999994,0.73844147,0.99999994
12,1.0,0.7466978,0.99999994
13,1.0,0.75394243,0.99999994
14,1.0,0.7603268,0.99999994
15,1.0,0.7659743,0.99999994
16,1.0,0.77098626,0.99999994
17,1.0,0.7754472,1.0
18,1.0,0.779428,1.0
19,1.0,0.7829881,1.0
20,1.0,0.7861781,1.0
