step,loss,util,prob
0,0.895764,0.4020844,0.7716872
1,0.9064522,0.46363115,0.822621
2,0.92070514,0.5210162,0.8674072
3,0.931602,0.56996304,0.8946908
4,0.93873566,0.60911167,0.9118734
5,0.9445011,0.6394468,0.92431104
6,0.949529,0.6626124,0.9338468
7,0.9568353,0.6802898,0.9456538
8,0.9584772,0.6939866,0.9488298
9,0.96473163,0.70485884,0.95705265
10,0.9662373,0.71376073,0.95935285
11,0.9664569,0.7212677,0.9599375
12,0.9695386,0.7277277,0.9634232
13,0.96968186,0.7334301,0.96381295
14,0.9705535,0.7385898,0.9650452
15,0.9709016,0.7433691,0.9656466
16,0.9710797,0.74787855,0.9659931
17,0.9727943,0.7521768,0.9684161
18,0.9742565,0.7562862,0.97044873
19,0.9743146,0.760245,0.97059774
20,0.97477657,0.76409817,0.97124916
